country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Australia,261,72,212,10.4,OC
Cook Islands,0,254,74,5.9,OC
Fiji,77,35,1,2.0,OC
Kiribati,21,34,1,1.0,OC
Marshall Islands,0,0,0,0.0,OC
Micronesia,62,50,18,2.3,OC
Nauru,49,0,8,1.0,OC
New Zealand,203,79,175,9.3,OC
Niue,188,200,7,7.0,OC
Palau,306,63,23,6.9,OC
Papua New Guinea,44,39,1,1.5,OC
Samoa,105,18,24,2.6,OC
Solomon Islands,56,11,1,1.2,OC
Tonga,36,21,5,1.1,OC
Tuvalu,6,41,9,1.0,OC
Vanuatu,21,18,11,0.9,OC
