category,movie,producer
Best Picture,Parasite,"Kwak Sin Ae and Bong Joon Ho, Producers"
Actor in a Leading Role,Joaquin Phoenix,Joker
Actress in a Leading Role,Renée Zellweger,Judy
Actor in a Supporting…,Brad Pitt,Once upon a Time... in Hollywood
Actress in a Supporting…,Laura Dern,Marriage Story
Animated Feature Film,Toy Story 4,"Josh Cooley, Mark Nielsen and Jonas Rivera"
Cinematography,1917,Roger Deakins
Costume Design,Little Women,Jacqueline Durran
Directing,Parasite,Bong Joon Ho
Documentary (Feature),American Factory,"Steven Bognar, Julia Reichert and…"
Documentary (Short…,Learning to Skateboard in a Warzone (If…,Carol Dysinger and Elena…
Film Editing,Ford v Ferrari,Michael McCusker and Andrew…
International Feature…,Parasite,South Korea
Makeup and Hairstyling,Bombshell,"Kazu Hiro, Anne Morgan and Vivian…"
Music (Original Score),Joker,Hildur Guðnadóttir
Music (Original Song),“(I’m Gonna) Love Me Again” from Rocketman,"Music by Elton John, Lyric by…"
Production Design,Once upon a Time...in Hollywood,"Production Design: Barbara Ling,…"
Short Film (Animated),Hair Love,Matthew A. Cherry and Karen Rupert…
Short Film (Live Action),The Neighbors' Window,Marshall Curry
Sound Editing,Ford v Ferrari,Donald Sylvester
Sound Mixing,1917,Mark Taylor and Stuart Wilson
Visual Effects,1917,"Guillaume Rocheron, Greg Butler…"
Writing (Adapted…,Jojo Rabbit,Screenplay by Taika Waititi
Writing (Original…,Parasite,"Screenplay by Bong Joon Ho, Han…"
